Date Num,Incident Date,State,City Or County,Address,Num Killed,# Injured,Operations,soFar
365,12/31/2017,Tennessee,Nashville,I 65 and Trinity Lane,1,1,N/A,
365,12/31/2017,California,Northridge,8644 Balboa Blvd,1,0,N/A,
365,12/31/2017,Georgia,Augusta,1814 Fayetteville Dr,1,0,N/A,
365,12/31/2017,Illinois,Joliet,900 Rosalind St,2,0,N/A,
365,12/31/2017,Virginia,Hopewell,2400 block of Wakefield Street,1,0,N/A,
365,12/31/2017,Nevada,Las Vegas,4800 block of Chantilly Ave,1,0,N/A,
365,12/31/2017,California,San Diego,Teak St and S 38th Street,1,0,N/A,
365,12/31/2017,Texas,Round Rock,1100 block of Preserve Pl,1,0,N/A,
365,12/31/2017,Mississippi,Cleveland,N/A,1,0,N/A,
365,12/31/2017,Texas,San Antonio,1600 block of Mardell St,1,0,N/A,
365,12/31/2017,Colorado,Denver,214 S Federal Blvd,1,0,N/A,
365,12/31/2017,Missouri,Florissant,11300 block of Bristol Rock Rd,1,0,N/A,
365,12/31/2017,South Carolina,Florence,South Ballard Street,1,0,N/A,
365,12/31/2017,New Jersey,Trenton,100 block of Brown St,1,1,N/A,
365,12/31/2017,California,Delano,2100 block of Norwalk St,1,0,N/A,
365,12/31/2017,California,Los Angeles,869 S Western Ave,0,1,N/A,
365,12/31/2017,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,N/A,
365,12/31/2017,Michigan,Ypsilanti,Cliffs Dr,1,0,N/A,
365,12/31/2017,Utah,Magna,2665 S 8990 W,2,0,N/A,
365,12/31/2017,Tennessee,Madison,201 E Palestine Ave,1,0,N/A,
365,12/31/2017,Indiana,Indianapolis,5300 Acorn Ln,1,0,N/A,
365,12/31/2017,Mississippi,Magnolia,1016 DL Jefferson Ln,1,0,N/A,
365,12/31/2017,Ohio,Cleveland,Kenyon Ave and E 65th St,1,0,N/A,
365,12/31/2017,Texas,Highlands,Mizell St,1,0,N/A,
365,12/31/2017,Virginia,Norfolk,3700 block of Tait Terr,1,0,N/A,
365,12/31/2017,Texas,Austin,4800 block of Doss Rd,1,0,N/A,
365,12/31/2017,Texas,Kilgore,1910 Meadowgreen Dr,1,0,N/A,
365,12/31/2017,Wisconsin,Milwaukee,40th and Sheridan,1,0,N/A,
365,12/31/2017,South Carolina,Greenville,115 Rasor Dr,1,0,N/A,
365,12/31/2017,South Carolina,Columbia,Coley Rd,1,0,N/A,
365,12/31/2017,California,West Sacramento,1050 W Capitol Ave,3,0,N/A,
365,12/31/2017,New Jersey,Camden,600 block of Woodland St,1,0,N/A,
365,12/31/2017,Ohio,Mechanicsburg,9800 block of Loveless Rd,1,1,N/A,
365,12/31/2017,Ohio,Groveport,4000 block of Yukon Ave,1,0,N/A,
365,12/31/2017,Ohio,Dayton (West Carrollton),300 block of Enxing Ave,2,0,N/A,
365,12/31/2017,Florida,Fort Lauderdale (Lauderhill),5300 Block of NW 17th Ct,1,0,N/A,
365,12/31/2017,Virginia,Norfolk,300 block of Virginian Dr,1,1,N/A,
365,12/31/2017,Florida,Boynton Beach,200 Block of NW 3rd Ave,2,0,N/A,
365,12/31/2017,West Virginia,Flemington,45 High St,1,0,N/A,
365,12/31/2017,New Jersey,Long Branch,635 Wall St,4,0,N/A,
365,12/31/2017,Pennsylvania,Harrisburg,1900 block of Brookwood St,1,1,N/A,
365,12/31/2017,New Jersey,Newark,2nd St and Central Ave,1,0,N/A,
365,12/31/2017,Nevada,Las Vegas,Alexander Rd and Lamb Blvd,1,0,N/A,
365,12/31/2017,South Carolina,Columbia,Bluff Rd,1,0,N/A,
365,12/31/2017,Florida,Jacksonville,34th St and Wilson St,1,0,N/A,
365,12/31/2017,Massachusetts,Lawrence,170 Reservoir St,1,0,N/A,
364,12/30/2017,Nevada,Las Vegas,740 S Decatur Blvd,3,0,N/A,
364,12/30/2017,Washington,Auburn,200 block of F St SW,1,0,N/A,
364,12/30/2017,Minnesota,Burnsville,Hilltop Rd and Circle Dr,1,0,N/A,
364,12/30/2017,Maryland,District Heights,3300 block of Walters Ln,1,0,N/A,
364,12/30/2017,North Carolina,Ernul,585 Aurora Rd,1,1,N/A,
364,12/30/2017,Washington,Vancouver,12500 block of NE 28th St,1,0,N/A,
364,12/30/2017,California,Oakland,3400 block of High St,1,0,N/A,
364,12/30/2017,Florida,Tampa,1806 N Nebraska Ave,1,1,N/A,
364,12/30/2017,Ohio,Cleveland,6700 block of Sebert Ave,1,0,N/A,
364,12/30/2017,California,Redwood City,1900 Broadway,1,0,N/A,
364,12/30/2017,Indiana,Evansville,5000 Monroe Ave,1,0,N/A,
364,12/30/2017,Connecticut,Manchester,1540 Pleasant Valley Rd,1,0,N/A,
364,12/30/2017,California,San Pablo,2800 block of Valencia Way,1,1,N/A,
364,12/30/2017,California,Modesto,601 N Franklin St,1,0,N/A,
364,12/30/2017,California,Stockton,Access St and Tam O Shanter Dr,1,0,N/A,
364,12/30/2017,Tennessee,Harriman,200 block of Harding Road,1,0,N/A,
364,12/30/2017,Arkansas,Helena,100 block of Oakland Street,1,1,N/A,
364,12/30/2017,Texas,Houston,W Orem and Townwood,1,0,N/A,
364,12/30/2017,North Carolina,High Point,523 Amos St,1,0,N/A,
364,12/30/2017,Texas,Crowell,N/A,1,0,N/A,
364,12/30/2017,Alaska,Anchorage,100 block of Oklahoma St,1,0,N/A,
364,12/30/2017,Kansas,Kansas City,700 block of N 9th St,1,0,N/A,
364,12/30/2017,Texas,Hillsboro,1000 block of E Walnut St,1,0,N/A,
364,12/30/2017,Missouri,Independence,14609 E Truman Rd,1,0,N/A,
364,12/30/2017,Wisconsin,Brookfield,20150 W. Blue Mound Road,1,0,N/A,
364,12/30/2017,Ohio,Cleveland,Euclid Ave and E 79th St,1,0,N/A,
364,12/30/2017,Florida,Polk City,9511 Evans Road,2,1,N/A,
364,12/30/2017,Ohio,Columbus,847 E 11th Ave,1,0,N/A,
364,12/30/2017,Alabama,Greensboro,County Rd 16,1,0,N/A,
364,12/30/2017,Louisiana,Baton Rouge,6224 Plank Rd.,2,0,N/A,
364,12/30/2017,Mississippi,Jackson,400 block of Bonita Street,1,0,N/A,
364,12/30/2017,Mississippi,Jackson,212 Lindsey Drive,1,0,N/A,
364,12/30/2017,Washington,Lynnwood,16100 Ash Way,1,0,N/A,
364,12/30/2017,Virginia,Martinsville,1105 Brookdale Rd,1,0,N/A,
