Date Num,date,location,attendees,latitude,longitude,event,source,total_articles,attendees today
62,3/3/2017,"Valdosta, GA",0,30.8327022,-83.2784851,Guns,http://www.tribstar.com/cnhi_network/georgia-professors-students-protest-against-campus-carry-bill/article_242afaab-a4cc-5fa8-85cf-30731727e346.html,2,
98,4/8/2017,"Elizabeth, NJ",200,40.6639916,-74.2107006,Guns,http://www.northjersey.com/story/news/paterson-press/2017/04/10/paterson-peace-march-recalls-victims-street-violence/100283166/,1,
102,4/12/2017,"Morristown, NJ",0,40.7967667,-74.4815438,Guns,http://www.townshipjournal.com/apps/pbcs.dll/article?AID=/20170419/NEWS01/170419926/0/photocontest/Brady-Campaign-protests-concealed-carry-proposal,1,
104,4/14/2017,"Englewood, IL",100,41.775305,-87.6416419,Guns,http://www.chicagotribune.com/news/ct-cupich-walk-for-peace-met-20170414-story.html,1,
112,4/22/2017,"Memphis, TN",200,35.1495343,-90.0489801,Guns,http://www.localmemphis.com/news/local-news/silence-the-violence/697428379,1,
118,4/28/2017,"Atlanta, GA",300,33.7489954,-84.3879824,Guns,http://www.timesfreepress.com/news/national/georgia/story/2017/apr/29/john-lewrallies-gun-control-advocates-nrconve/425522/,1,
126,5/6/2017,"Trenton, NJ",0,40.2170534,-74.7429384,Guns,http://www.trentonian.com/social-affairs/20170506/trenton-gun-control-rally-greets-out-of-state-activists-on-bike-tour,1,
152,6/1/2017,"Detroit, MI",0,42.331427,-83.0457538,Guns,http://www.mlive.com/news/detroit/index.ssf/2017/06/gun_violence_awareness_month_k.html,2,
174,6/23/2017,"Fort Pierce, FL",100,27.4467056,-80.3256056,Guns,http://www.tcpalm.com/story/news/crime/st-lucie-county/2017/06/26/fort-pierce-youths-march-peace-end-gunfire/426799001/,1,
237,8/25/2017,"Milwaukee, WI",100,43.0389025,-87.9064736,Guns,http://fox6now.com/2017/08/25/demonstrators-rally-outside-nra-carry-guard-expo-were-here-peacefully/,2,
259,9/16/2017,"Somerset, NJ",0,40.497604,-74.4884868,Guns,http://newjersey.news12.com/story/36383075/peace-and-unity-march-held-in-somerset-after-uptick-in-violence,1,
265,9/22/2017,"Greensboro, NC",30,36.0726354,-79.7919754,Guns,http://www.greensboro.com/news/crime/dozens-gather-for-a-cease-fire-rally-at-douglas-park/article_6b0b21cf-80f1-5d99-a89d-7430ead00060.html,1,
275,10/2/2017,"New York, NY",100,40.7127837,-74.0059413,Guns,http://www.amny.com/news/las-vegas-shooting-prompts-gun-control-rally-in-manhattan-1.14333568,1,
